"groups","p_value","p_cate","r_squared","slope"
"[0,10)",0.041,"<0.05",0.303,-0.012
"[10,20)",0.016,"<0.05",0.393,0.024
"[20,30)",0.001,"<0.01",0.599,0.031
"[30,40)",0.003,"<0.01",0.527,0.024
"[40,50)",0,"<0.01",0.944,0.055
"[50,60)",0,"<0.01",0.722,0.049
"[60,70)",0,"<0.01",0.726,0.028
"[70,80)",0.001,"<0.01",0.642,0.051
"[80,90)",0.089,"0.089",0.222,0.006
"[90,100)",0.01,"<0.01",0.498,0.02
"[100,110)",0.084,"0.084",0.228,-0.004
"[110,120)",0.653,"0.653",0.017,0.003
"[120,130)",0.296,"0.296",0.091,-0.007
"[130,140)",0.577,"0.577",0.027,-0.004
"[140,150)",0.117,"0.117",0.192,0.01
"[150,160)",0.006,"<0.01",0.48,-0.017
"[160,170)",0.719,"0.719",0.011,0.003
"[170,180)",0.189,"0.189",0.139,-0.011
"[180,190)",0.268,"0.268",0.101,0.01
"[190,200)",0.789,"0.789",0.006,-0.002
"[200,210)",0.683,"0.683",0.014,0.002
"[210,220)",0.513,"0.513",0.037,-0.004
"[220,230)",0.011,"<0.05",0.431,0.021
"[230,240)",0.06,"0.06",0.264,0.014
"[240,250)",0,"<0.01",0.781,0.031
"[250,260)",0,"<0.01",0.639,0.034
"[260,270)",0.568,"0.568",0.024,0.003
"[270,280)",0,"<0.01",0.613,0.031
"[280,290)",0.063,"0.063",0.225,0.015
"[290,300)",0.328,"0.328",0.068,-0.011
"[300,310)",0.257,"0.257",0.091,0.004
"[310,320)",0.145,"0.145",0.145,0.016
"[320,330)",0.134,"0.134",0.153,0.017
"[330,340)",0.014,"<0.05",0.36,0.019
"[340,350)",0.003,"<0.01",0.487,0.015
"[350,360)",0.149,"0.149",0.143,-0.008
"[360,370)",0.235,"0.235",0.099,0.006
"[370,380)",0.933,"0.933",0.001,-0.001
"[380,390)",0.013,"<0.05",0.367,0.018
"[390,400)",0.025,"<0.05",0.309,0.01
"[400,410)",0.733,"0.733",0.009,-0.002
"[410,420)",0.998,"0.998",0,0
"[420,430)",0.465,"0.465",0.039,-0.004
"[430,440)",0.513,"0.513",0.031,0.006
"[440,450)",0.34,"0.34",0.065,-0.009
"[450,460)",0.009,"<0.01",0.395,0.021
"[460,470)",0.904,"0.904",0.001,-0.003
"[470,480)",0.013,"<0.05",0.364,0.016
"[480,490)",0.467,"0.467",0.038,-0.007
"[490,500)",0.02,"<0.05",0.329,0.026
"[500,510)",0.015,"<0.05",0.353,0.03
"[510,520)",0.001,"<0.01",0.59,0.037
"[520,530)",0.007,"<0.01",0.411,0.019
"[530,540)",0.621,"0.621",0.018,0.009
"[540,550)",0.351,"0.351",0.062,0.018
"[550,560)",0.148,"0.148",0.144,0.024
"[560,570)",0.003,"<0.01",0.481,0.043
"[570,580)",0.661,"0.661",0.014,-0.002
"[580,590)",0.569,"0.569",0.026,0.008
"[590,600)",0.002,"<0.01",0.512,0.03
"[600,610)",0.911,"0.911",0.001,-0.002
"[610,620)",0.855,"0.855",0.002,0.002
"[620,630)",0.062,"0.062",0.227,0.021
"[630,640)",0.146,"0.146",0.144,0.018
"[640,650)",0.001,"<0.01",0.579,0.042
"[650,660)",0.207,"0.207",0.111,0.011
"[660,670)",0.028,"<0.05",0.299,0.018
"[670,680)",0.005,"<0.01",0.445,0.036
"[680,690)",0.28,"0.28",0.105,0.026
"[690,700)",0.117,"0.117",0.166,0.007
"[700,710)",0.048,"<0.05",0.252,0.015
"[710,720)",0.818,"0.818",0.004,0.002
"[720,730)",0.985,"0.985",0,0
"[730,740)",0.049,"<0.05",0.25,0.021
"[740,750)",0.015,"<0.05",0.354,0.018
"[750,760)",0.002,"<0.01",0.515,0.027
"[760,770)",0.35,"0.35",0.063,0.01
"[770,780)",0.033,"<0.05",0.287,0.01
"[780,790)",0.381,"0.381",0.055,0.012
"[790,800)",0.057,"0.057",0.236,0.029
"[800,810)",0.145,"0.145",0.156,0.029
"[810,820)",0.046,"<0.05",0.256,0.02
"[820,830)",0.245,"0.245",0.095,0.015
"[830,840)",0.998,"0.998",0,0
"[840,850)",0.106,"0.106",0.176,0.02
"[850,860)",0.258,"0.258",0.09,0.008
"[860,870)",0.277,"0.277",0.084,0.01
"[870,880)",0,"<0.01",0.608,0.037
"[880,890)",0.778,"0.778",0.006,0.003
"[890,900)",0.603,"0.603",0.02,0.007
"[900,910)",0.004,"<0.01",0.456,0.042
"[910,920)",0.001,"<0.01",0.581,0.053
"[920,930)",0.012,"<0.05",0.375,0.026
"[930,940)",0.01,"<0.01",0.385,0.032
"[940,950)",0.005,"<0.01",0.44,0.032
"[950,960)",0.018,"<0.05",0.339,0.019
"[960,970)",0.01,"<0.01",0.387,0.036
"[970,980)",0.289,"0.289",0.08,0.008
"[980,990)",0.096,"0.096",0.185,0.025
"[990,1000)",0.012,"<0.05",0.374,0.023
"[1000,1010)",0.768,"0.768",0.007,0.002
"[1010,1020)",0.001,"<0.01",0.534,0.025
"[1020,1030)",0.12,"0.12",0.164,0.017
"[1030,1040)",0.001,"<0.01",0.557,0.045
"[1040,1050)",0.014,"<0.05",0.359,0.025
"[1050,1060)",0.126,"0.126",0.159,0.017
"[1060,1070)",0.076,"0.076",0.207,0.023
"[1070,1080)",0.192,"0.192",0.119,0.013
"[1080,1090)",0.234,"0.234",0.1,0.015
"[1090,1100)",0.004,"<0.01",0.459,0.028
"[1100,1110)",0.346,"0.346",0.064,0.006
"[1110,1120)",0.021,"<0.05",0.326,0.024
"[1120,1130)",0.37,"0.37",0.058,0.011
"[1130,1140)",0.034,"<0.05",0.282,0.025
"[1140,1150)",0.86,"0.86",0.002,0.002
"[1150,1160)",0.256,"0.256",0.098,0.01
"[1160,1170)",0.532,"0.532",0.028,0.007
"[1170,1180)",0.659,"0.659",0.014,-0.005
"[1180,1190)",0.023,"<0.05",0.362,0.033
"[1190,1200)",0.001,"<0.01",0.528,0.028
"[1200,1210)",0.005,"<0.01",0.444,0.038
"[1210,1220)",0.169,"0.169",0.131,0.014
"[1220,1230)",0.231,"0.231",0.101,0.013
"[1230,1240)",0.08,"0.08",0.203,0.022
"[1240,1250)",0.017,"<0.05",0.344,0.03
"[1250,1260)",0.034,"<0.05",0.282,0.034
"[1260,1270)",0.064,"0.064",0.224,0.022
"[1270,1280)",0.218,"0.218",0.106,0.018
"[1280,1290)",0.189,"0.189",0.129,0.018
"[1290,1300)",0.857,"0.857",0.003,0.002
"[1300,1310)",0.043,"<0.05",0.419,0.045
"[1310,1320)",0.015,"<0.05",0.379,0.055
"[1320,1330)",0.446,"0.446",0.054,-0.013
"[1330,1340)",0.066,"0.066",0.299,0.042
"[1340,1350)",0.12,"0.12",0.175,0.023
"[1350,1360)",0.108,"0.108",0.262,-0.043
"[1360,1370)",0.003,"<0.01",0.506,-0.059
"[1370,1380)",0.141,"0.141",0.148,-0.019
"[1380,1390)",0.514,"0.514",0.036,-0.011
"[1390,1400)",0.424,"0.424",0.046,-0.012
"[1400,1410)",0.698,"0.698",0.011,0.005
"[1410,1420)",0.374,"0.374",0.133,-0.012
"[1420,1430)",0.216,"0.216",0.107,-0.015
"[1430,1440)",0.211,"0.211",0.118,-0.018
"[1440,1450)",0.006,"<0.01",0.486,-0.033
